KO	base_KO	symbol	name	module	pathways	n_isolates	Pauljensenia__(9)	Actinomyces__(15)	Staphy.+Nialla__(10)	Cupriayidus__(8)	Cutibacterium__(14)	Fusobacterium+Leptotrichia__(13)	Gemella__(5)	Granulicatella__(12)	Haemophilus__(11)	Micrococcus__(7)	Prevotella__(6)	Rothia__(4)	Strep.II__(2)	Strep.I__(1)	Veillonella__(3)
K00012	K00012	UGDH, ugd	UDPglucose 6-dehydrogenase [EC:1.1.1.22]	Glucuronate pathway (uronate pathway)	map00040 Pentose and glucuronate interconversions,map00053 Ascorbate and aldarate metabolism,map00520 Amino sugar and nucleotide sugar metabolism,map00541 O-Antigen nucleotide sugar biosynthesis,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors,map01250 Biosynthesis of nucleotide sugars	36	-0.749	1.118	-0.314	-0.398	1.118	0.719	-0.93	-0.465	-0.672	1.663	1.732	-0.93	-0.598	-1.221	1.856
K00013	K00013	hisD	histidinol dehydrogenase [EC:1.1.1.23]	Histidine biosynthesis, PRPP => histidine	map00340 Histidine metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids	55	-1.042	0.825	0.432	1.345	0.825	-0.195	-1.227	-0.754	-0.508	1.345	0.626	-1.227	-1.615	0.146	1.519
K00014	K00014	aroE	shikimate dehydrogenase [EC:1.1.1.25]	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	map00400 Phenylalanine, tyrosine and tryptophan biosynthesis,map00999 Biosynthesis of various plant secondary metabolites,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids	117	0.044	-0.386	0.044	0.11	-0.386	-0.236	-3.65	-0.236	-0.032	0.11	0.169	0.221	0.575	0.821	0.269
K00891	K00014	aroK, aroL	shikimate kinase [EC:2.7.1.71]	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	map00400 Phenylalanine, tyrosine and tryptophan biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids	117	0.044	-0.386	0.044	0.11	-0.386	-0.236	-3.65	-0.236	-0.032	0.11	0.169	0.221	0.575	0.821	0.269
K03524	K00014	birA	BirA family transcriptional regulator, biotin operon repressor / biotin---[acetyl-CoA-carboxylase] ligase [EC:6.3.4.15]	""	map00780 Biotin metabolism,map01100 Metabolic pathways	117	0.044	-0.386	0.044	0.11	-0.386	-0.236	-3.65	-0.236	-0.032	0.11	0.169	0.221	0.575	0.821	0.269
K00015	K00015	gyaR, GOR1	glyoxylate reductase [EC:1.1.1.26]	""	map00630 Glyoxylate and dicarboxylate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments	25	-0.54	-0.108	1.398	-0.181	1.334	-0.258	-0.719	-0.258	-0.463	1.499	-0.666	-0.719	-1.081	-0.985	2.138
K00016	K00016	LDH, ldh	L-lactate dehydrogenase [EC:1.1.1.27]	""	map00010 Glycolysis / Gluconeogenesis,map00270 Cysteine and methionine metabolism,map00620 Pyruvate metabolism,map00640 Propanoate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map04066 HIF-1 signaling pathway,map04922 Glucagon signaling pathway,map05230 Central carbon metabolism in cancer	105	0.449	0.016	0.449	-1.207	0.016	-1.601	0.627	0.167	-1.847	0.515	-2.123	0.627	0.986	1.24	0.675
K00018	K00018	hprA	glycerate dehydrogenase [EC:1.1.1.29]	Formaldehyde assimilation, serine pathway	map00260 Glycine, serine and threonine metabolism,map00630 Glyoxylate and dicarboxylate metabolism,map00680 Methane metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism	33	-0.697	-0.263	-0.26	1.311	-0.263	1.332	-0.877	-0.413	1.557	-0.764	1.795	-0.877	-1.244	-1.508	1.922
K00020	K00020	HIBADH, mmsB	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	""	map00280 Valine, leucine and isoleucine degradation,map01100 Metabolic pathways	22	-0.473	-0.04	-0.026	-0.109	-0.04	-0.191	2.168	1.574	0.076	2.005	-0.598	-0.651	-1.011	-1.265	-0.699
K00021	K00021	HMGCR	hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	C5 isoprenoid biosynthesis, mevalonate pathway	map00900 Terpenoid backbone biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map04152 AMPK signaling pathway,map04976 Bile secretion	69	-1.244	-0.797	1.071	-0.903	-0.797	-0.393	1.257	0.782	-1.163	-1.315	-1.378	-1.435	1.647	1.948	-1.488
K02246	K00021	comGD	competence protein ComGD	""	""	69	-1.244	-0.797	1.071	-0.903	-0.797	-0.393	1.257	0.782	-1.163	-1.315	-1.378	-1.435	1.647	1.948	-1.488
K00024	K00024	mdh	malate dehydrogenase [EC:1.1.1.37]	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00270 Cysteine and methionine metabolism,map00620 Pyruvate metabolism,map00630 Glyoxylate and dicarboxylate metabolism,map00680 Methane metabolism,map00710 Carbon fixation in photosynthetic organisms,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism	51	1.334	0.882	0.905	1.406	0.882	-0.697	-1.168	-0.697	1.252	1.406	1.47	1.528	-1.551	-1.839	-1.218
K00027	K00027	ME2, sfcA, maeA	malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	""	map00620 Pyruvate metabolism,map01200 Carbon metabolism,map02020 Two-component system	78	0.508	0.501	0.939	1.008	0.501	0.653	0.356	0.653	0.861	-1.453	1.068	-1.577	-0.649	-0.359	1.172
K00029	K00029	E1.1.1.40, maeB	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	CAM (Crassulacean acid metabolism), light	map00620 Pyruvate metabolism,map00710 Carbon fixation in photosynthetic organisms,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map03320 PPAR signaling pathway	20	-0.424	0.008	-0.424	2.073	0.008	-0.142	-0.602	-0.142	1.878	-0.49	2.161	-0.602	-0.961	-1.213	-0.649
K03269	K00029	lpxH	UDP-2,3-diacylglucosamine hydrolase [EC:3.6.1.54]	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	map00540 Lipopolysaccharide biosynthesis,map01100 Metabolic pathways	20	-0.424	0.008	-0.424	2.073	0.008	-0.142	-0.602	-0.142	1.878	-0.49	2.161	-0.602	-0.961	-1.213	-0.649
K03814	K00029	mtgA	monofunctional glycosyltransferase [EC:2.4.1.129]	""	map00550 Peptidoglycan biosynthesis,map01100 Metabolic pathways	20	-0.424	0.008	-0.424	2.073	0.008	-0.142	-0.602	-0.142	1.878	-0.49	2.161	-0.602	-0.961	-1.213	-0.649
K04084	K00029	dsbD, dipZ	thioredoxin:protein disulfide reductase [EC:1.8.4.16]	""	""	20	-0.424	0.008	-0.424	2.073	0.008	-0.142	-0.602	-0.142	1.878	-0.49	2.161	-0.602	-0.961	-1.213	-0.649
K05788	K00029	ihfB, himD	integration host factor subunit beta	""	""	20	-0.424	0.008	-0.424	2.073	0.008	-0.142	-0.602	-0.142	1.878	-0.49	2.161	-0.602	-0.961	-1.213	-0.649
K05807	K00029	bamD	outer membrane protein assembly factor BamD	""	""	20	-0.424	0.008	-0.424	2.073	0.008	-0.142	-0.602	-0.142	1.878	-0.49	2.161	-0.602	-0.961	-1.213	-0.649
K00030	K00030	IDH3	isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids	2	0.562	0.991	0.562	1.294	0.991	1.785	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K03098	K00030	APOD	apolipoprotein D and lipocalin family protein	""	""	2	0.562	0.991	0.562	1.294	0.991	1.785	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K10822	K00030	E7.4.2.2	nonpolar-amino-acid-transporting ATPase [EC:7.4.2.2]	""	""	2	0.562	0.991	0.562	1.294	0.991	1.785	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K00031	K00031	IDH1, IDH2, icd	isocitrate dehydrogenase [EC:1.1.1.42]	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00480 Glutathione metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids,map04146 Peroxisome,map05230 Central carbon metabolism in cancer	40	-0.816	1.051	1.513	1.588	1.051	-0.531	-0.997	-0.531	-0.738	1.588	-0.943	-0.997	-1.014	0.453	-1.046
K00033	K00033	PGD, gnd, gntZ	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	Pentose phosphate pathway (Pentose phosphate cycle)	map00030 Pentose phosphate pathway,map00480 Glutathione metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism	96	0.642	0.208	0.642	0.709	0.208	-1.39	0.821	0.359	0.564	0.709	-1.863	0.821	1.186	-0.185	-1.995
K00036	K00036	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	Pentose phosphate pathway (Pentose phosphate cycle)	map00030 Pentose phosphate pathway,map00480 Glutathione metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map05230 Central carbon metabolism in cancer,map05415 Diabetic cardiomyopathy	95	0.66	0.226	0.66	0.727	0.226	-1.37	0.84	0.377	0.583	0.727	-1.839	0.84	0.846	-0.159	-1.97
K00040	K00040	uxuB	fructuronate reductase [EC:1.1.1.57]	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways	8	0.978	1.96	0.509	-0.058	1.96	0.288	-0.169	0.288	0.084	-0.058	0.355	-0.169	-0.523	-0.768	-0.216
K00041	K00041	uxaB	tagaturonate reductase [EC:1.1.1.58]	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways	2	0.562	0.991	1.377	0.496	0.991	0.842	0.386	0.842	0.638	0.496	1.223	0.386	0.034	-0.208	0.339
K01051	K00041	E3.1.1.11	pectinesterase [EC:3.1.1.11]	Pectin degradation	map00040 Pentose and glucuronate interconversions,map01100 Metabolic pathways,map02020 Two-component system	2	0.562	0.991	1.377	0.496	0.991	0.842	0.386	0.842	0.638	0.496	1.223	0.386	0.034	-0.208	0.339
K01235	K00041	aguA	alpha-glucuronidase [EC:3.2.1.139]	""	""	2	0.562	0.991	1.377	0.496	0.991	0.842	0.386	0.842	0.638	0.496	1.223	0.386	0.034	-0.208	0.339
K01811	K00041	xylS, yicI	alpha-D-xyloside xylohydrolase [EC:3.2.1.177]	""	""	2	0.562	0.991	1.377	0.496	0.991	0.842	0.386	0.842	0.638	0.496	1.223	0.386	0.034	-0.208	0.339
K10297	K00041	FBXO11	F-box protein 11	""	""	2	0.562	0.991	1.377	0.496	0.991	0.842	0.386	0.842	0.638	0.496	1.223	0.386	0.034	-0.208	0.339
K10710	K00041	frlD	fructoselysine 6-kinase [EC:2.7.1.218]	""	""	2	0.562	0.991	1.377	0.496	0.991	0.842	0.386	0.842	0.638	0.496	1.223	0.386	0.034	-0.208	0.339
K15532	K00041	yteR, yesR	unsaturated rhamnogalacturonyl hydrolase [EC:3.2.1.172]	""	""	2	0.562	0.991	1.377	0.496	0.991	0.842	0.386	0.842	0.638	0.496	1.223	0.386	0.034	-0.208	0.339
K00042	K00042	garR, glxR	2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	""	map00630 Glyoxylate and dicarboxylate metabolism,map01100 Metabolic pathways	15	-0.281	0.15	0.18	0.097	0.15	0	2.513	1.795	0.281	-0.347	-0.406	-0.458	-0.815	-1.065	-0.506
K00043	K00043	gbd	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	""	map00650 Butanoate metabolism,map01100 Metabolic pathways,map01200 Carbon metabolism	2	0.562	0.991	0.562	1.294	0.991	0.842	0.386	0.842	0.638	1.294	0.438	0.386	0.034	-0.208	0.339
K00453	K00043	TDO2, kynA	tryptophan 2,3-dioxygenase [EC:1.13.11.11]	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	map00380 Tryptophan metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors	2	0.562	0.991	0.562	1.294	0.991	0.842	0.386	0.842	0.638	1.294	0.438	0.386	0.034	-0.208	0.339
K00822	K00043	E2.6.1.18	beta-alanine--pyruvate transaminase [EC:2.6.1.18]	""	map00280 Valine, leucine and isoleucine degradation,map00410 beta-Alanine metabolism,map00640 Propanoate metabolism,map01100 Metabolic pathways	2	0.562	0.991	0.562	1.294	0.991	0.842	0.386	0.842	0.638	1.294	0.438	0.386	0.034	-0.208	0.339
K01295	K00043	cpg	glutamate carboxypeptidase [EC:3.4.17.11]	""	""	2	0.562	0.991	0.562	1.294	0.991	0.842	0.386	0.842	0.638	1.294	0.438	0.386	0.034	-0.208	0.339
K01556	K00043	KYNU, kynU	kynureninase [EC:3.7.1.3]	Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	map00380 Tryptophan metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors	2	0.562	0.991	0.562	1.294	0.991	0.842	0.386	0.842	0.638	1.294	0.438	0.386	0.034	-0.208	0.339
K01561	K00043	dehH	haloacetate dehalogenase [EC:3.8.1.3]	""	map00361 Chlorocyclohexane and chlorobenzene degradation,map00625 Chloroalkane and chloroalkene degradation,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	2	0.562	0.991	0.562	1.294	0.991	0.842	0.386	0.842	0.638	1.294	0.438	0.386	0.034	-0.208	0.339
K04127	K00043	cefD	isopenicillin-N epimerase [EC:5.1.1.17]	Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C	map00311 Penicillin and cephalosporin biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	2	0.562	0.991	0.562	1.294	0.991	0.842	0.386	0.842	0.638	1.294	0.438	0.386	0.034	-0.208	0.339
K05782	K00043	benE	benzoate membrane transport protein	""	""	2	0.562	0.991	0.562	1.294	0.991	0.842	0.386	0.842	0.638	1.294	0.438	0.386	0.034	-0.208	0.339
K05834	K00043	rhtB	homoserine/homoserine lactone efflux protein	""	""	2	0.562	0.991	0.562	1.294	0.991	0.842	0.386	0.842	0.638	1.294	0.438	0.386	0.034	-0.208	0.339
K06995	K00043	K06995	uncharacterized protein	""	""	2	0.562	0.991	0.562	1.294	0.991	0.842	0.386	0.842	0.638	1.294	0.438	0.386	0.034	-0.208	0.339
K10234	K00043	aglG, ggtD	alpha-glucoside transport system permease protein	""	map02010 ABC transporters	2	0.562	0.991	0.562	1.294	0.991	0.842	0.386	0.842	0.638	1.294	0.438	0.386	0.034	-0.208	0.339
K11325	K00043	K11325	L-cysteine/cystine lyase	""	""	2	0.562	0.991	0.562	1.294	0.991	0.842	0.386	0.842	0.638	1.294	0.438	0.386	0.034	-0.208	0.339
K11472	K00043	glcE	glycolate oxidase FAD binding subunit	""	map00630 Glyoxylate and dicarboxylate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments	2	0.562	0.991	0.562	1.294	0.991	0.842	0.386	0.842	0.638	1.294	0.438	0.386	0.034	-0.208	0.339
K13021	K00043	ttuB	MFS transporter, ACS family, tartrate transporter	""	""	2	0.562	0.991	0.562	1.294	0.991	0.842	0.386	0.842	0.638	1.294	0.438	0.386	0.034	-0.208	0.339
K19338	K00043	nac	LysR family transcriptional regulator, nitrogen assimilation regulatory protein	""	""	2	0.562	0.991	0.562	1.294	0.991	0.842	0.386	0.842	0.638	1.294	0.438	0.386	0.034	-0.208	0.339
K21007	K00043	pelB	polysaccharide biosynthesis protein PelB	""	map02025 Biofilm formation - Pseudomonas aeruginosa	2	0.562	0.991	0.562	1.294	0.991	0.842	0.386	0.842	0.638	1.294	0.438	0.386	0.034	-0.208	0.339
K21174	K00043	calE9	enediyne biosynthesis protein CalE9	10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core	map01059 Biosynthesis of enediyne antibiotics,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites	2	0.562	0.991	0.562	1.294	0.991	0.842	0.386	0.842	0.638	1.294	0.438	0.386	0.034	-0.208	0.339
K00045	K00045	E1.1.1.67, mtlK	mannitol 2-dehydrogenase [EC:1.1.1.67]	""	map00051 Fructose and mannose metabolism,map01100 Metabolic pathways	2	0.562	3.095	0.562	0.496	0.991	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K00752	K00045	hasA	hyaluronan synthase [EC:2.4.1.212]	""	""	2	0.562	3.095	0.562	0.496	0.991	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K03815	K00045					2	0.562	3.095	0.562	0.496	0.991	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K07057	K00045	bpsA	N4-bis(aminopropyl)spermidine synthase [EC:2.5.1.128]	""	""	2	0.562	3.095	0.562	0.496	0.991	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K13057	K00045	treT	trehalose synthase [EC:2.4.1.245]	""	map00500 Starch and sucrose metabolism,map01100 Metabolic pathways	2	0.562	3.095	0.562	0.496	0.991	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K14666	K00045	nodC	N-acetylglucosaminyltransferase [EC:2.4.1.-]	Nodulation	""	2	0.562	3.095	0.562	0.496	0.991	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K16556	K00045	exoM	succinoglycan biosynthesis protein ExoM [EC:2.4.-.-]	""	""	2	0.562	3.095	0.562	0.496	0.991	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K16703	K00045	wcaL, amsK	colanic acid/amylovoran biosynthesis glycosyltransferase WcaL/AmsK [EC:2.4.-.-]	""	""	2	0.562	3.095	0.562	0.496	0.991	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K19615	K00045	fitD, mcf	insecticidal toxin	""	map02020 Two-component system	2	0.562	3.095	0.562	0.496	0.991	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K20263	K00045	fusK	two-component system, NarL family, sensor histidine kinase FusK [EC:2.7.13.3]	""	map02020 Two-component system,map02024 Quorum sensing	2	0.562	3.095	0.562	0.496	0.991	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K20832	K00045	EN3GAL	galactan endo-beta-1,3-galactanase [EC:3.2.1.181]	""	""	2	0.562	3.095	0.562	0.496	0.991	0.842	0.386	0.842	0.638	0.496	0.438	0.386	0.034	-0.208	0.339
K00048	K00048	fucO	lactaldehyde reductase [EC:1.1.1.77]	""	map00630 Glyoxylate and dicarboxylate metabolism,map00640 Propanoate metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments	17	-0.342	0.829	-0.342	-0.408	0.089	1.723	-0.52	-0.061	1.059	-0.408	-0.467	-0.52	-0.877	-1.128	2.487
K00052	K00052	leuB, IMDH	3-isopropylmalate dehydrogenase [EC:1.1.1.85]	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	map00290 Valine, leucine and isoleucine biosynthesis,map00660 C5-Branched dibasic acid metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids	105	0.449	0.016	0.449	0.515	0.016	0.167	-2.205	-1.601	0.372	0.515	-1.716	0.627	0.264	1.24	0.675
K01649	K00052	leuA, IMS	2-isopropylmalate synthase [EC:2.3.3.13]	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	map00290 Valine, leucine and isoleucine biosynthesis,map00620 Pyruvate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids	105	0.449	0.016	0.449	0.515	0.016	0.167	-2.205	-1.601	0.372	0.515	-1.716	0.627	0.264	1.24	0.675
K01703	K00052	leuC, IPMI-L	3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit [EC:4.2.1.33 4.2.1.35]	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	map00290 Valine, leucine and isoleucine biosynthesis,map00660 C5-Branched dibasic acid metabolism,map00966 Glucosinolate biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids	105	0.449	0.016	0.449	0.515	0.016	0.167	-2.205	-1.601	0.372	0.515	-1.716	0.627	0.264	1.24	0.675
K01704	K00052	leuD, IPMI-S	3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit [EC:4.2.1.33 4.2.1.35]	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	map00290 Valine, leucine and isoleucine biosynthesis,map00660 C5-Branched dibasic acid metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids	105	0.449	0.016	0.449	0.515	0.016	0.167	-2.205	-1.601	0.372	0.515	-1.716	0.627	0.264	1.24	0.675
K00053	K00053	ilvC	ketol-acid reductoisomerase [EC:1.1.1.86]	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	map00290 Valine, leucine and isoleucine biosynthesis,map00770 Pantothenate and CoA biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids	106	0.424	-0.008	0.424	0.49	-0.008	0.142	-2.245	-1.629	0.347	0.49	-1.348	0.602	0.235	1.213	0.649
