OTU	isolate	Genus	lable	percentage_identity	alignment_length
AGWQ01000009.1612.3142	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	97.585	207
GU227170.1.1472	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	96.135	207
LC037217.1.1502	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	96.618	207
GU940714.1.1403	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	96.135	207
KC196072.1.1459	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	96.135	207
FJ975839.1.1345	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	99.034	207
10cd17167fb7cf3a29b745bec0a6fafe26d126dc	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	96.135	207
JF160007.1.1372	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	96.135	207
55e8ded304d2d288f0dfce255d596b8bb9f23ee6	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	96.135	207
KF098131.1.1356	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	99.034	207
GQ388925.1.1497	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	97.101	207
3e8345472422345eacc45dc2ce1290eb87c068e0	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	96.135	207
JQ204964.1.1359	Actinomyces_bouchesdurhonensis_20925_1_25	Pauljensenia	Pauljensenia spp. 20925_1_25	98.551	207
HK555364.1.1532	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	96.154	208
KF101668.1.1358	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	96.135	207
HK555347.1.1515	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	95.169	207
JQ460237.1.1233	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	97.101	207
faee831881bb11c753c893f01992490034279816	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	96.135	207
GU227175.1.1462	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	95.652	207
JQ451922.1.1426	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	96.135	207
JQ468822.1.1431	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	96.618	207
JF097002.1.1358	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	96.135	207
JX548344.1.1521	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	97.585	207
GU940714.1.1403	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	100	207
X80411.1.1415	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	97.585	207
AKGF01000038.28.1549	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	96.618	207
FJ975839.1.1345	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	96.135	207
KC196072.1.1459	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	99.034	207
LF133117.1.1534	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	95.169	207
LC037217.1.1502	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	99.517	207
JQ204964.1.1359	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	95.652	207
JQ477027.1.1419	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	98.077	208
CP012072.1336545.1338099	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	97.585	207
HQ758211.1.1442	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	96.135	207
AF385521.1.1532	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	96.618	207
KF098131.1.1356	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	96.135	207
GQ388925.1.1497	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	96.135	207
FN552454.1.1379	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	98.068	207
HK555370.10.1536	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	97.585	207
AF385504.1.1539	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	95.652	207
GU227170.1.1472	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	97.101	207
JQ466973.1.1413	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	96.618	207
JF160007.1.1372	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	99.034	207
JF150656.1.1355	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	96.135	207
AQHZ01000031.142.1681	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	96.135	207
45dfe51d7e46eefe70ab3a6f333cba005c02080c	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	96.135	207
KC203057.1.1441	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	95.652	207
KR364730.1.1403	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	99.034	207
CP012590.1917683.1919248	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	96.135	207
KF030212.1.1494	Actinomyces_naeslundii_27098_8_156	Actinomyces	Actinomyces naeslundii 27098_8_156	95.652	207
HK555370.10.1536	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	97.101	207
GU940714.1.1403	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	99.517	207
X80411.1.1415	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	98.068	207
CP012072.1336545.1338099	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	98.068	207
JQ451922.1.1426	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	95.652	207
GU227175.1.1462	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	96.135	207
AKGF01000038.28.1549	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	97.101	207
KC196072.1.1459	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	99.517	207
GU227170.1.1472	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	96.618	207
JQ460237.1.1233	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	97.585	207
JF097002.1.1358	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	96.618	207
AQHZ01000031.142.1681	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	96.618	207
HQ758211.1.1442	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	96.618	207
JQ477027.1.1419	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	97.596	208
KR364730.1.1403	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	99.517	207
KF101668.1.1358	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	96.618	207
CP012590.1917683.1919248	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	95.652	207
9018dc35f09ff9270b146ff84bd65c909a56e85b	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	95.169	207
JF160007.1.1372	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	99.517	207
HK555364.1.1532	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	95.673	208
AGWQ01000009.1612.3142	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	95.169	207
JQ466973.1.1413	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	96.135	207
KF098131.1.1356	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	96.618	207
KC203057.1.1441	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	95.169	207
KF030212.1.1494	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	96.135	207
GQ388925.1.1497	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	96.618	207
JX548344.1.1521	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	97.101	207
JQ204964.1.1359	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	96.135	207
faee831881bb11c753c893f01992490034279816	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	96.618	207
FN552454.1.1379	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	97.585	207
JQ468822.1.1431	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	97.101	207
AF385521.1.1532	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	97.101	207
FJ975839.1.1345	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	96.618	207
JF150656.1.1355	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	96.618	207
45dfe51d7e46eefe70ab3a6f333cba005c02080c	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	96.618	207
AF385504.1.1539	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	96.135	207
LC037217.1.1502	Actinomyces_oris_27098_8_157	Actinomyces	Actinomyces oris 27098_8_157	100	207
KF279366.1.1513	Bacillus_circulans_27098_8_36	Niallia	Niallia circulans 27098_8_36	97.101	207
JX485776.1.1452	Bacillus_circulans_27098_8_36	Niallia	Niallia circulans 27098_8_36	96.618	207
JQ740267.1.1526	Bacillus_circulans_27098_8_36	Niallia	Niallia circulans 27098_8_36	96.618	207
JX840387.1.1478	Bacillus_circulans_27098_8_36	Niallia	Niallia circulans 27098_8_36	100	207
KR088559.1.1565	Bacillus_circulans_27098_8_36	Niallia	Niallia circulans 27098_8_36	95.652	207
HM187330.1.1342	Cupriavidus_gilardii_27098_8_120	Cupriavidus	Cupriavidus gilardii 27098_8_120	100	207
KF063282.1.1343	Cutibacterium_acnes_20925_1_38	Cutibacterium	Cutibacterium acnes 20925_1_38	96.135	207
JX048456.1.1422	Cutibacterium_acnes_20925_1_38	Cutibacterium	Cutibacterium acnes 20925_1_38	100	207
KF063282.1.1343	Cutibacterium_acnes_20925_1_68	Cutibacterium	Cutibacterium acnes 20925_1_68	96.135	207
JX048456.1.1422	Cutibacterium_acnes_20925_1_68	Cutibacterium	Cutibacterium acnes 20925_1_68	100	207
JQ449953.1.1392	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
KP294708.1.1205	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
HK694112.1.1352	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
JQ449923.1.1419	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
HQ788134.1.1479	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.034	207
JQ448765.1.1428	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
FJ557390.1.1415	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
KF098544.1.1376	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
JQ449859.1.1409	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.034	207
JN713253.1.1547	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	97.101	207
JF241933.1.1379	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
JQ448850.1.1423	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
JF151822.1.1381	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
KF090175.1.1379	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
JQ452498.1.1373	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
JQ448944.1.1425	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.034	207
JF191903.1.1373	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
KF098390.1.1371	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
KF091161.1.1340	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
HQ772831.1.1469	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.034	207
AY923133.1.1569	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
JQ449874.1.1429	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
JQ448707.1.1432	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
JF014066.1.1376	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	98.551	207
0a28ffb842686552c553ac58fee3c78bddfeebdd	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	96.135	207
JQ468004.1.1422	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
KF098551.1.1382	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
DQ800306.1.1420	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
JQ448725.1.1428	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.034	207
717e247c49da0d67e760332256b399c21e2afe47	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	95.652	207
JF238475.1.1371	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
AUDW01000037.77.1612	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
JQ448461.1.1433	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	100	207
LSDB01000018.49.1592	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	96.618	207
CP014233.1448073.1449626	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	97.101	207
JQ449982.1.1414	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
KF101876.1.1376	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.034	207
AY923139.1.1566	Gemella_haemolysans_27098_8_149	Gemella	Gemella spp. 27098_8_149	99.517	207
JQ448850.1.1423	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
JQ448944.1.1425	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.034	207
HQ788134.1.1479	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.034	207
JF238475.1.1371	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
FJ557390.1.1415	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
KF098544.1.1376	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
KP294708.1.1205	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
JF241933.1.1379	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
JQ448765.1.1428	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
AY923133.1.1569	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
HK694112.1.1352	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
JQ449953.1.1392	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
JQ452498.1.1373	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
JF014066.1.1376	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	98.551	207
CP014233.1448073.1449626	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	97.101	207
KF091161.1.1340	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
HQ772831.1.1469	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.034	207
0a28ffb842686552c553ac58fee3c78bddfeebdd	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	96.135	207
JF151822.1.1381	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
JQ448461.1.1433	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	100	207
JQ449874.1.1429	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
JQ468004.1.1422	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
AY923139.1.1566	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
KF101876.1.1376	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.034	207
DQ800306.1.1420	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
JQ449859.1.1409	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.034	207
JQ448707.1.1432	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
JN713253.1.1547	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	97.101	207
KF098551.1.1382	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
JQ449923.1.1419	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
AUDW01000037.77.1612	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
KF098390.1.1371	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
717e247c49da0d67e760332256b399c21e2afe47	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	95.652	207
KF090175.1.1379	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
JQ448725.1.1428	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.034	207
LSDB01000018.49.1592	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	96.618	207
JF191903.1.1373	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
JQ449982.1.1414	Gemella_haemolysans_27098_8_155	Gemella	Gemella spp. 27098_8_155	99.517	207
KF098544.1.1376	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
KP294708.1.1205	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
HQ772831.1.1469	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.034	207
JQ449953.1.1392	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
JF241933.1.1379	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
AY923133.1.1569	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
HQ788134.1.1479	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.034	207
JQ448850.1.1423	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
HK694112.1.1352	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
JQ448944.1.1425	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.034	207
CP014233.1448073.1449626	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	97.101	207
JQ452498.1.1373	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
JQ449982.1.1414	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
717e247c49da0d67e760332256b399c21e2afe47	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	95.652	207
FJ557390.1.1415	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
KF098390.1.1371	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
JN713253.1.1547	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	97.101	207
DQ800306.1.1420	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
KF091161.1.1340	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
JF238475.1.1371	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
JF014066.1.1376	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	98.551	207
KF101876.1.1376	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.034	207
JQ448707.1.1432	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
0a28ffb842686552c553ac58fee3c78bddfeebdd	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	96.135	207
JQ448461.1.1433	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	100	207
JQ468004.1.1422	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
JQ449923.1.1419	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
JQ448765.1.1428	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
JF191903.1.1373	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
AUDW01000037.77.1612	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
LSDB01000018.49.1592	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	96.618	207
JQ449859.1.1409	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.034	207
JQ448725.1.1428	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.034	207
JQ449874.1.1429	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
KF090175.1.1379	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
AY923139.1.1566	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
KF098551.1.1382	Gemella_morbillorum_27098_8_92	Gemella	Gemella spp. 27098_8_92	99.517	207
