KO	symbol	name	module	pathways
K00096	araM, egsA	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]		map00564 Glycerophospholipid metabolism,map01110 Biosynthesis of secondary metabolites
K00097	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	map00750 Vitamin B6 metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K00099	dxr	1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]	C5 isoprenoid biosynthesis, non-mevalonate pathway	map00900 Terpenoid backbone biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00100	bdhAB	butanol dehydrogenase [EC:1.1.1.-]		map00650 Butanoate metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments
K00101	lldD	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]		map00620 Pyruvate metabolism,map01100 Metabolic pathways
K00102	LDHD, dld	D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]		map00620 Pyruvate metabolism,map01100 Metabolic pathways
K00103	GULO	L-gulonolactone oxidase [EC:1.1.3.8]	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	map00053 Ascorbate and aldarate metabolism,map01100 Metabolic pathways,map01240 Biosynthesis of cofactors
K00104	glcD	glycolate oxidase [EC:1.1.3.15]		map00630 Glyoxylate and dicarboxylate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments
K00105	E1.1.3.21	alpha-glycerophosphate oxidase [EC:1.1.3.21]		map00564 Glycerophospholipid metabolism,map01110 Biosynthesis of secondary metabolites
K00108	betA, CHDH	choline dehydrogenase [EC:1.1.99.1]	Betaine biosynthesis, choline => betaine	map00260 Glycine, serine and threonine metabolism,map01100 Metabolic pathways
K00111	glpA, glpD	glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]		map00564 Glycerophospholipid metabolism,map01110 Biosynthesis of secondary metabolites
K00112	glpB	glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]		map00564 Glycerophospholipid metabolism,map01110 Biosynthesis of secondary metabolites
K00113	glpC	glycerol-3-phosphate dehydrogenase subunit C		map00564 Glycerophospholipid metabolism,map01110 Biosynthesis of secondary metabolites
K00116	mqo	malate dehydrogenase (quinone) [EC:1.1.5.4]	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map00620 Pyruvate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00121	frmA, ADH5, adhC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]		map00010 Glycolysis / Gluconeogenesis,map00071 Fatty acid degradation,map00350 Tyrosine metabolism,map00620 Pyruvate metabolism,map00625 Chloroalkane and chloroalkene degradation,map00626 Naphthalene degradation,map00680 Methane metabolism,map00830 Retinol metabolism,map00980 Metabolism of xenobiotics by cytochrome P450,map00982 Drug metabolism - cytochrome P450,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01220 Degradation of aromatic compounds,map04936 Alcoholic liver disease
K00122	FDH	formate dehydrogenase [EC:1.17.1.9]		map00630 Glyoxylate and dicarboxylate metabolism,map00680 Methane metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00123	fdoG, fdhF, fdwA	formate dehydrogenase major subunit [EC:1.17.1.9]		map00630 Glyoxylate and dicarboxylate metabolism,map00680 Methane metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00124	fdoH, fdsB	formate dehydrogenase iron-sulfur subunit		map00630 Glyoxylate and dicarboxylate metabolism,map00680 Methane metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00126	fdsD	formate dehydrogenase subunit delta [EC:1.17.1.9]		map00630 Glyoxylate and dicarboxylate metabolism,map00680 Methane metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00127	fdoI, fdsG	formate dehydrogenase subunit gamma		map00630 Glyoxylate and dicarboxylate metabolism,map00680 Methane metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00128	ALDH	aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]	GABA biosynthesis, eukaryotes, putrescine => GABA	map00010 Glycolysis / Gluconeogenesis,map00053 Ascorbate and aldarate metabolism,map00071 Fatty acid degradation,map00280 Valine, leucine and isoleucine degradation,map00310 Lysine degradation,map00330 Arginine and proline metabolism,map00340 Histidine metabolism,map00380 Tryptophan metabolism,map00410 beta-Alanine metabolism,map00561 Glycerolipid metabolism,map00620 Pyruvate metabolism,map00625 Chloroalkane and chloroalkene degradation,map00770 Pantothenate and CoA biosynthesis,map00903 Limonene and pinene degradation,map00981 Insect hormone biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01240 Biosynthesis of cofactors,map04936 Alcoholic liver disease
K00129	ALDH3	aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5]		map00010 Glycolysis / Gluconeogenesis,map00340 Histidine metabolism,map00350 Tyrosine metabolism,map00360 Phenylalanine metabolism,map00410 beta-Alanine metabolism,map00980 Metabolism of xenobiotics by cytochrome P450,map00982 Drug metabolism - cytochrome P450,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments
K00130	betB, gbsA	betaine-aldehyde dehydrogenase [EC:1.2.1.8]	Betaine biosynthesis, choline => betaine	map00260 Glycine, serine and threonine metabolism,map01100 Metabolic pathways
K00131	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	map00010 Glycolysis / Gluconeogenesis,map00030 Pentose phosphate pathway,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00132	E1.2.1.10	acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]		map00620 Pyruvate metabolism,map00650 Butanoate metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments
K00133	asd	aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	map00260 Glycine, serine and threonine metabolism,map00261 Monobactam biosynthesis,map00270 Cysteine and methionine metabolism,map00300 Lysine biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids
K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	map00010 Glycolysis / Gluconeogenesis,map00710 Carbon fixation in photosynthetic organisms,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids,map04066 HIF-1 signaling pathway,map05010 Alzheimer disease,map05130 Pathogenic Escherichia coli infection,map05132 Salmonella infection,map05415 Diabetic cardiomyopathy
K00135	gabD	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]	GABA (gamma-Aminobutyrate) shunt	map00250 Alanine, aspartate and glutamate metabolism,map00310 Lysine degradation,map00350 Tyrosine metabolism,map00650 Butanoate metabolism,map00760 Nicotinate and nicotinamide metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments
K00138	aldB	aldehyde dehydrogenase [EC:1.2.1.-]		map00010 Glycolysis / Gluconeogenesis,map00620 Pyruvate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments
K00140	mmsA, iolA, ALDH6A1	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]	Malonate semialdehyde pathway, propanoyl-CoA => acetyl-CoA	map00280 Valine, leucine and isoleucine degradation,map00410 beta-Alanine metabolism,map00562 Inositol phosphate metabolism,map00640 Propanoate metabolism,map01100 Metabolic pathways,map01200 Carbon metabolism
K00145	argC	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]	Ornithine biosynthesis, glutamate => ornithine	map00220 Arginine biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01210 2-Oxocarboxylic acid metabolism,map01230 Biosynthesis of amino acids
K00146	feaB, tynC	phenylacetaldehyde dehydrogenase [EC:1.2.1.39]		map00350 Tyrosine metabolism,map00360 Phenylalanine metabolism,map00643 Styrene degradation,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments
K00147	proA	glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	Proline biosynthesis, glutamate => proline	map00330 Arginine and proline metabolism,map00332 Carbapenem biosynthesis,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01230 Biosynthesis of amino acids
K00148	fdhA	glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]		map00625 Chloroalkane and chloroalkene degradation,map00680 Methane metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00150	gap2	glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	map00010 Glycolysis / Gluconeogenesis,map00710 Carbon fixation in photosynthetic organisms,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map01230 Biosynthesis of amino acids
K00151	hpaE, hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]	Homoprotocatechuate degradation, homoprotocatechuate => 2-oxohept-3-enedioate	map00350 Tyrosine metabolism,map01100 Metabolic pathways,map01120 Microbial metabolism in diverse environments,map01220 Degradation of aromatic compounds
K00153	E1.1.1.306	S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]		 
K00156	poxB	pyruvate dehydrogenase (quinone) [EC:1.2.5.1]		map00620 Pyruvate metabolism,map01100 Metabolic pathways
K00158	E1.2.3.3, poxL	pyruvate oxidase [EC:1.2.3.3]		map00620 Pyruvate metabolism,map01100 Metabolic pathways
K00161	PDHA, pdhA	pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]	Pyruvate oxidation, pyruvate => acetyl-CoA	map00010 Glycolysis / Gluconeogenesis,map00020 Citrate cycle (TCA cycle),map00620 Pyruvate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map04066 HIF-1 signaling pathway,map04922 Glucagon signaling pathway,map05230 Central carbon metabolism in cancer,map05415 Diabetic cardiomyopathy
K00162	PDHB, pdhB	pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]	Pyruvate oxidation, pyruvate => acetyl-CoA	map00010 Glycolysis / Gluconeogenesis,map00020 Citrate cycle (TCA cycle),map00620 Pyruvate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism,map04066 HIF-1 signaling pathway,map04922 Glucagon signaling pathway,map05230 Central carbon metabolism in cancer,map05415 Diabetic cardiomyopathy
K00163	aceE	pyruvate dehydrogenase E1 component [EC:1.2.4.1]	Pyruvate oxidation, pyruvate => acetyl-CoA	map00010 Glycolysis / Gluconeogenesis,map00020 Citrate cycle (TCA cycle),map00620 Pyruvate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00164	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]	Citrate cycle (TCA cycle, Krebs cycle)	map00020 Citrate cycle (TCA cycle),map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
K00166	BCKDHA, bkdA1	2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]	Leucine degradation, leucine => acetoacetate + acetyl-CoA	map00280 Valine, leucine and isoleucine degradation,map00640 Propanoate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00167	BCKDHB, bkdA2	2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]	Leucine degradation, leucine => acetoacetate + acetyl-CoA	map00280 Valine, leucine and isoleucine degradation,map00640 Propanoate metabolism,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites
K00171	porD	pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]	Reductive citrate cycle (Arnon-Buchanan cycle)	map00010 Glycolysis / Gluconeogenesis,map00020 Citrate cycle (TCA cycle),map00620 Pyruvate metabolism,map00633 Nitrotoluene degradation,map00640 Propanoate metabolism,map00650 Butanoate metabolism,map00680 Methane metabolism,map00720 Carbon fixation pathways in prokaryotes,map01100 Metabolic pathways,map01110 Biosynthesis of secondary metabolites,map01120 Microbial metabolism in diverse environments,map01200 Carbon metabolism
