PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,KEGG,                               Group   HMDB_ID
296,arginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,1638,LC/MS Neg,231,728,173.2,1119-34-2;,232,C00062,HMDB00517
29,asparagine,Amino Acid,Alanine and Aspartate Metabolism,512,LC/MS Neg,917,687,131.2,70-47-3;,6267,C00152,HMDB00168
27,aspartate,Amino Acid,Alanine and Aspartate Metabolism,443,LC/MS Neg,234,643,132.1,56-84-8;,5960,C00049,HMDB00191
226,beta-hydroxyisovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",12129,GC/MS,1442,1251.5,130.9,625-08-1;,69362,,HMDB00754
12,beta-hydroxypyruvate,Amino Acid,"Glycine, Serine and Threonine Metabolism",15686,GC/MS,100000055,1425.1,221,1113-60-6;3369-79-7;,964,C00168,HMDB01352
933,caprate (10:0),Lipid,Medium Chain Fatty Acid,1642,LC/MS Neg,888,5092,171.2,112-37-8;,2969,C01571,HMDB00511
929,caproate (6:0),Lipid,Medium Chain Fatty Acid,32489,LC/MS Neg,926,2766,115.2,142-62-1;,8892,C01585,HMDB00535
931,caprylate (8:0),Lipid,Medium Chain Fatty Acid,32492,LC/MS Neg,932,4367,143.2,124-07-2;,379,C06423,HMDB00482
1313,choline,Lipid,Phospholipid Metabolism,15506,LC/MS Pos,1256,674,104.2,67-48-1;,305,C00114,HMDB00097
907,cis-aconitate,Energy,TCA Cycle,12025,LC/MS Neg,1829,603,173.1,585-84-2;,643757,C00417,HMDB00072
906,citrate,Energy,TCA Cycle,1564,GC/MS,1124,1763.4,273.1,77-92-9;,311,C00158,HMDB00094
2245,cobalamine (Vitamin B12),Cofactors and Vitamins,Vitamin B12 Metabolism,2184,LC/MS Pos,570,2643,678.5,68-19-9;78091-12-0;,,,
1552,cortisol,Lipid,Steroid,1712,LC/MS Pos,356,4573,363.2,50-23-7;,5754,C00735,HMDB00063
1556,cortisone,Lipid,Steroid,1769,LC/MS Pos,273,4420,361.2,53-06-5;,222786,C00762,HMDB02802
322,creatine,Amino Acid,Creatine Metabolism,27718,LC/MS Pos,1221,758,132.1,57-00-1;,586,C00300,HMDB00064
281,cysteine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",31453,GC/MS,800,1560.1,218,52-90-4;56-89-3;,5862,C00097,HMDB00574
349,cysteine-glutathione disulfide,Amino Acid,Glutathione Metabolism,35159,LC/MS Pos,100001437,821,427.1,13081-14-6;,4247235,,HMDB00656
307,dimethylarginine (SDMA + ADMA),Amino Acid,Urea cycle; Arginine and Proline Metabolism,36808,LC/MS Pos,100001810,812,203.2,102783-24-4;,123831,C03626,HMDB01539
2518,erythritol,Xenobiotics,Food Component/Plant,20699,GC/MS,100000846,1517.5,217,149-32-6;,,C00503,HMDB02994
900,erythronate*,Carbohydrate,Aminosugar Metabolism,33477,GC/MS,100001320,1546.9,292.1,88759-55-1;,2781043,,HMDB00613
2211,folate,Cofactors and Vitamins,Folate Metabolism,1826,LC/MS Pos,328,2606,442,59-30-3;,6037,C00504,HMDB00121
830,fructose,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",577,GC/MS,878,1758,217,57-48-7;,5984,C00095,HMDB00660
363,gamma-glutamylglutamine,Peptide,Gamma-glutamyl Amino Acid,2730,LC/MS Pos,1140,806,276.1,10148-81-9;,150914,,HMDB11738
367,gamma-glutamylleucine,Peptide,Gamma-glutamyl Amino Acid,18369,LC/MS Pos,1268,2744,261.2,2566-39-4;,151023,,HMDB11171
370,gamma-glutamylphenylalanine,Peptide,Gamma-glutamyl Amino Acid,33422,LC/MS Pos,100000491,2846,295.1,7432-24-8;,111299,,HMDB00594
729,glucose,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20488,GC/MS,572,1866.8,217.1,50-99-7;,79025,C00031,HMDB00122
36,glutamate,Amino Acid,Glutamate Metabolism,57,GC/MS,561,1611.9,246,56-86-0;,611,C00025,HMDB00148
37,glutamine,Amino Acid,Glutamate Metabolism,53,LC/MS Pos,563,684,147.2,56-85-9;,5961,C00064,HMDB00641
347,"glutathione, oxidized (GSSG)",Amino Acid,Glutathione Metabolism,27727,LC/MS Pos,448,1535,613.1,103239-24-3;,"6,535,911,215,652",C00127,HMDB03337
749,glycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1572,GC/MS,1052,1360.7,189,600-19-1;,752,C00258,HMDB00139
1418,glycerol,Lipid,Glycerolipid Metabolism,15122,GC/MS,1254,1311,205,56-81-5;,753,C00116,HMDB00131
1419,glycerol 3-phosphate (G3P),Lipid,Glycerolipid Metabolism,15365,GC/MS,100000258,1719.7,357.1,29849-82-9;,754,C00093,HMDB00126
1,glycine,Amino Acid,"Glycine, Serine and Threonine Metabolism",11777,GC/MS,340,1166,101.9,56-40-6;,"5,257,127,750",C00037,HMDB00123
2985,HEPES,Xenobiotics,Chemical,21248,LC/MS Neg,100000843,1033,237.2,7365-45-9;,"32,758,842,383,123,800",,
50,histidine,Amino Acid,Histidine Metabolism,59,LC/MS Neg,355,757,154.1,5934-29-2;,"7,733,651,426",C00135,HMDB00177
2026,hypoxanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",3127,LC/MS Neg,171,1313,135.1,68-94-0;,790,C00262,HMDB00157
2025,inosine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",1123,LC/MS Neg,361,1600,267.2,58-63-9;,,C00294,HMDB00195
243,isoleucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1125,LC/MS Pos,376,1614,132.1,73-32-5;,791,C00407,HMDB00172
221,isovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",34732,LC/MS Neg,100000708,1623,101.2,503-74-2;,10430,C08262,HMDB00718
223,isovalerylcarnitine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",34407,LC/MS Pos,100001393,2533,246.2,31023-24-2;,6426851,,HMDB00688
184,kynurenine,Amino Acid,Tryptophan Metabolism,15140,LC/MS Pos,100000265,1902,209.1,2922-83-0;,"1,611,666,971,029",C00328,HMDB00684
746,lactate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",527,GC/MS,482,1102.8,116.9,79-33-4;,612,C00186,HMDB00190
215,leucine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",60,LC/MS Pos,397,1674,132.2,61-90-5;,"70,457,986,106",C00123,HMDB00687
69,lysine,Amino Acid,Lysine Metabolism,1301,LC/MS Pos,407,603,147.2,56-87-1;,5962,C00047,HMDB00182
916,malate,Energy,TCA Cycle,1303,GC/MS,409,1502,233,6915-15-7;,525,C00149,HMDB00156
836,mannose,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",584,GC/MS,803,1753.5,204,3458-28-4;,161658,C00159,HMDB00169
264,methionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",1302,LC/MS Pos,415,1252,150.1,63-68-3;,"69,920,876,137",C00073,HMDB00696
269,methionine sulfoxide,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",18374,LC/MS Pos,100000039,729,166.1,3226-65-1;,"1,589,801,548,907",C02989,HMDB02005
1286,myo-inositol,Lipid,Inositol Metabolism,19934,GC/MS,363,1924.9,217,87-89-8;,,C00137,HMDB00211
25,N-acetylalanine,Amino Acid,Alanine and Aspartate Metabolism,1585,LC/MS Neg,1110,882,130.1,97-69-8;,88064,C02847,HMDB00766
265,N-acetylmethionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",1589,LC/MS Neg,1083,1805,190.1,65-82-7;,448580,C02712,HMDB11745
15,N-acetylthreonine,Amino Acid,"Glycine, Serine and Threonine Metabolism",33939,LC/MS Neg,100001274,846,160.1,17093-74-2;,4651717,C01118,
266,N-formylmethionine,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism",2829,LC/MS Neg,194,1541,176.1,4289-98-9;,439750,C03145,HMDB01015
2159,nicotinamide,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,594,LC/MS Pos,432,1267,123.1,98-92-0;,936,C00153,HMDB01406
298,ornithine,Amino Acid,Urea cycle; Arginine and Proline Metabolism,1493,GC/MS,444,1763.8,142,3184-13-2;,6262,C00077,HMDB03374
120,p-cresol sulfate,Amino Acid,Phenylalanine and Tyrosine Metabolism,36103,LC/MS Neg,100001315,2896,187.1,3233-57-7;,4615422,C01468,HMDB11635
2184,pantothenate,Cofactors and Vitamins,Pantothenate and CoA Metabolism,1508,LC/MS Pos,1024,2218,220.1,137-08-6;,6613,C00864,HMDB00210
3002,phenol red,Xenobiotics,Chemical,36817,LC/MS Neg,100001724,3650,353.1,143-74-8;,4766,C12600,
118,phenol sulfate,Amino Acid,Phenylalanine and Tyrosine Metabolism,32553,LC/MS Neg,100001510,2150,173.1,937-34-8;,74426,C02180,
91,phenylalanine,Amino Acid,Phenylalanine and Tyrosine Metabolism,64,LC/MS Pos,460,2056,166.1,63-91-2;,"69,256,656,140",C00079,HMDB00159
927,phosphate,Energy,Oxidative Phosphorylation,11438,GC/MS,461,1307.7,298.9,7664-38-2 ;,1061,C00009,HMDB01429
299,proline,Amino Acid,Urea cycle; Arginine and Proline Metabolism,1898,LC/MS Pos,480,796,116.1,147-85-3;,"1,457,426,971,047",C00148,HMDB00162
2110,pseudouridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",33442,LC/MS Pos,821,1180,245,1445-07-4;,,C02067,HMDB00767
2253,pyridoxal,Cofactors and Vitamins,Vitamin B6 Metabolism,1651,LC/MS Pos,491,1210,168.1,65-22-5;,1050,C00250,HMDB01545
2254,pyridoxate,Cofactors and Vitamins,Vitamin B6 Metabolism,31555,LC/MS Neg,100001121,2210,182.1,82-82-6 ;,6723,C00847,HMDB00017
2249,pyridoxine (Vitamin B6),Cofactors and Vitamins,Vitamin B6 Metabolism,608,LC/MS Pos,936,1386,170.1,58-56-0;,1054,C00314,HMDB02075
745,pyruvate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",599,GC/MS,823,1130.6,217,127-17-3;,107735,C00022,HMDB00243
2181,riboflavin (Vitamin B2),Cofactors and Vitamins,Riboflavin Metabolism,1827,LC/MS Pos,500,3111,377.2,83-88-5;,493570,C00255,HMDB00244
9,serine,Amino Acid,"Glycine, Serine and Threonine Metabolism",1648,GC/MS,503,1389.1,204,56-45-1;,"59,516,857,581",C00065,HMDB00187
833,sorbitol,Carbohydrate,"Fructose, Mannose and Galactose Metabolism",15053,GC/MS,506,1843,319.1,6706-59-8;,107428,C00794,HMDB00247
2239,thiamin (Vitamin B1),Cofactors and Vitamins,Thiamine Metabolism,5341,LC/MS Pos,873,740,265.1,59-43-8;,,C00378,
2194,threonate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism,27738,GC/MS,100001022,1560.7,292.1,70753-61-6;,151152,C01620,HMDB00943
14,threonine,Amino Acid,"Glycine, Serine and Threonine Metabolism",1284,LC/MS Pos,564,713,120.1,72-19-5;,"69,710,196,288",C00188,HMDB00167
2149,thymidine,Nucleotide,"Pyrimidine Metabolism, Thymine containing",39539,LC/MS Neg,872,1935,284.8,50-89-5;,5789,C00214,HMDB00273
2150,thymine,Nucleotide,"Pyrimidine Metabolism, Thymine containing",604,GC/MS,882,1429.1,255,65-71-4;,1135,C00178,HMDB00262
174,tryptophan,Amino Acid,Tryptophan Metabolism,54,LC/MS Pos,565,2445,205.1,73-22-3;,"69,235,166,305",C00078,HMDB00929
104,tyrosine,Amino Acid,Phenylalanine and Tyrosine Metabolism,1299,LC/MS Pos,815,1516,182.1,60-18-4;,"60,576,942,100",C00082,HMDB00158
2034,urate,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",1604,GC/MS,1134,1928,441.2,69-93-2;120K5305;,,C00366,HMDB00289
2108,uridine,Nucleotide,"Pyrimidine Metabolism, Uracil containing",606,LC/MS Neg,535,1430,243.1,58-96-8;,6029,C00299,HMDB00296
254,valine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1649,LC/MS Pos,566,1040,118.1,72-18-4;,"69,710,186,287",C00183,HMDB00883
2027,xanthine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",3147,LC/MS Neg,1004,909,151.1,69-89-6;,1188,C00385,HMDB00292
2029,xanthosine,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",15136,LC/MS Pos,100000299,1785,285,146-80-5;,64959,C01762,HMDB00299
770,xylitol,Carbohydrate,Pentose Metabolism,4966,GC/MS,543,1677.6,307.2,87-99-0;,6912,C00379,HMDB02917
768,xylonate,Carbohydrate,Pentose Metabolism,35638,GC/MS,100001627,1722,292,73686-31-7;,6602431,C05411,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
